BLOCK	TRANSECT	PLOT	MODULE	SUBMODULE	CORNER	SAMPLING_ID	SPECIES	SPECIES_CORRECTED	SPCODE	FREQUENCY	DATE	DATE_CORRECTED	>1M	CONERCONER	DATE OF FIRE	TIME SINCE FIRE (DAYS)	SPECIES_NEW_NAMES	NEW_SPCODE
F1	1	1	2	0.3	A	F1_1_1_2_0.3_A	SISYRINCHIUM MIAMIENSE     	SISYRINCHIUM MIAMIENSE	SISMIA	7	2/2/1998	2/2/1998						
F1	1	1	2	0.3	A	F1_1_1_2_0.3_A	SOLANUM DONIANUM        	SOLANUM DONIANUM	SOLDON	2	2/2/1998	2/2/1998						
F1	1	1	2	0.3	A	F1_1_1_2_0.3_A	TEUCRIUM CANADENSE       	TEUCRIUM CANADENSE	TEUCAN	3	2/2/1998	2/2/1998						
F1	1	1	2	1	A	F1_1_1_2_1_A	EUPATORIUM COELESTINUM   	EUPATORIUM COELESTINUM	EUPCOE	22	2/2/1998	2/2/1998						
F1	1	1	2	1	A	F1_1_1_2_1_A	BUMELIA RECLINATA       	BUMELIA RECLINATA	BUMREC	38	2/2/1998	2/2/1998						
F1	1	1	2	1	A	F1_1_1_2_1_A	CENTELLA ASIATICA       	CENTELLA ASIATICA	CENASI	13	2/2/1998	2/2/1998						
F1	1	1	2	1	A	F1_1_1_2_1_A	CHLORIS RADIATA        	CHLORIS RADIATA	CHLRAD	1	2/2/1998	2/2/1998						
F1	1	1	2	1	A	F1_1_1_2_1_A	CLADIUM JAMAICENSE       	CLADIUM JAMAICENSE	CLAJAM	91	2/2/1998	2/2/1998						
F1	1	1	2	1	A	F1_1_1_2_1_A	CYNOCTONUM SESSILIFOLIUM    	CYNOCTONUM SESSILIFOLIUM	CYNSES	6	2/2/1998	2/2/1998						
F1	1	1	2	1	A	F1_1_1_2_1_A	DICHANTHELIUM ACICULARE    	DICHANTHELIUM ACICULARE	DICACI	11	2/2/1998	2/2/1998						
F1	1	1	2	1	A	F1_1_1_2_1_A	DICHROMENA COLORATA      	DICHROMENA COLORATA	DICCOL	9	2/2/1998	2/2/1998					RHYNCHOSPORA COLORATA	RHYCOL
F1	1	1	2	1	A	F1_1_1_2_1_A	DIODIA VIRGINIANA       	DIODIA VIRGINIANA	DIOVIR	13	2/2/1998	2/2/1998						
F1	1	1	2	1	A	F1_1_1_2_1_A	DYSCHORISTE ANGUSTA      	DYSCHORISTE ANGUSTA	DYSANG	5	2/2/1998	2/2/1998						
F1	1	1	2	1	A	F1_1_1_2_1_A	ELYTRARIA CAROLINIENSIS    	ELYTRARIA CAROLINIENSIS	ELYCAR	47	2/2/1998	2/2/1998						
F1	1	1	2	1	A	F1_1_1_2_1_A	EUPATORIUM LEPTOPHYLLUM    	EUPATORIUM LEPTOPHYLLUM	EUPLEP	1	2/2/1998	2/2/1998						
F1	1	1	2	1	A	F1_1_1_2_1_A	EUPATORIUM MIKANOIDES     	EUPATORIUM MIKANIOIDES	EUPMIK	7	2/2/1998	2/2/1998						
