Block,Plot,Latitude,Longitude,Easting,Northing,Module,Submodule,Elevation,DateVegSampled,BurnDate1,BurnDate2,BurnDate3,Days_since_fire,time_since_fire,FireIntensity,FireHeterogeneity,FutureBurnYear
J,6,,,,,,,,1999-02-16,1995-07-22,1998-08-06,1999-07-16,194,"0 years, 6 months",,,
J,7,,,,,,,,1999-02-17,1995-07-22,1998-08-07,1999-07-16,194,"0 years, 6 months",,,
J,8,,,,,,,,1999-02-18,1995-07-22,1998-08-08,1999-07-16,194,"0 years, 6 months",,,
TS,2,,,,,,,,1999-05-04,,,,,,,,
TS,3,,,,,,,,1999-03-22,,,,,,,,
TS,4,,,,,,,,1999-03-19,,,,,,,,
TS,5,,,,,,,,1999-03-23,,,,,,,,
TS,6,,,,,,,,1999-03-11,,,,,,,,
TS,7,,,,,,,,1999-03-08,,,,,,,,
TS,8,,,,,,,,1999-03-03,,,,,,,,
TS,9,,,,,,,,1998-04-24,,,,,,,,
TS,10,,,,,,,,1997-05-13,,,,,,,,
TS,11,,,,,,,,1997-04-30,,,,,,,,
TS,12,,,,,,,,1997-12-19,,,,,,,,
TS,13,,,,,,,,1997-12-12,,,,,,,,
TS,14,,,,,,,,1997-12-05,,,,,,,,
TS,15,,,,,,,,1997-11-19,,,,,,,,
,,,,,,,,,,,,,,,,,
